vid	views	titel	groesse	lum_mittel	lum_sd	kontrast_p95_p5	saettigung	kantendichte	dunkelanteil	hellanteil	palette
mJS-QVw8lzY	1000000	The ENTIRE Story of The Odyssey Explained	1280x720	122.41295020073785	81.48118803476903	254.4304	0.47090115974491875	0.0991332110339158	0.20056206597222223	0.22736653645833332	#2C506A:21% #86563E:20% #051A2C:18% #FDFDFC:18%
re_Av02zWcc	989000	Your Life as Every German Army Rank in WW2	1280x720	134.82272677777777	107.8267472785964	253.14439999999996	0.1574754224637777	0.11577847349013322	0.4229513888888889	0.438447265625	#0C0B09:22% #FFFFFF:21% #FEFEFD:20% #483D33:15%
COSuWgQjBhQ	773000	POV: You're a German Soldier in WW2	1280x720	84.16692815017359	55.80273401198223	185.98685999999987	0.24242083672306167	0.07105799145498971	0.39201605902777775	0.03941623263888889	#151311:24% #403631:23% #978279:15% #5A5454:15%
wZTEbo-HM_g	544000	The ENTIRE History of WW1 Explained	1280x720	87.28361667078994	63.285948545558654	244.4974	0.4796720534136169	0.06585899754349984	0.4420930989583333	0.07242621527777778	#0B1C2D:30% #224975:22% #6485BF:14% #CDD1D6:12%
EhT6IhuZQp4	396000	Why It Sucked to Be a U.S. Soldier (in WW2)	1280x720	144.9243750169271	100.2951840670052	252.937	0.3048528501330866	0.12079477947501145	0.2719184027777778	0.4375358072916667	#FEFEFE:39% #584E29:32% #1B180D:22% #D0CCBE:4%
Wrv5t7VmmXw	314000	What It Was Like to be Every British Army Rank in WW2	1280x720	194.52123123719616	86.42578706831571	231.72319999999996	0.1510146583977097	0.03842427313584913	0.1137966579861111	0.652080078125	#FFFFFF:60% #866D4A:16% #3F2E1E:16% #D3C5AF:4%
Nlu6Fe-vbYQ	266000	The ENTIRE History of WW2 Explained	1280x720	78.70771571093749	64.79228134736863	250.56959999999998	0.5587872173095378	0.07757168598120272	0.5176247829861111	0.09003472222222222	#0F3964:28% #081A30:26% #7A282C:17% #DCDBE2:12%
6DHpRoZw974	222000	Iwo Jima from the Japanese Soldier's Perspective	1280x720	83.61116161935765	60.55270690039933	199.38739999999999	0.2797782203596978	0.04989011538699936	0.4200021701388889	0.06156358506944445	#101514:26% #313531:21% #46535C:16% #798891:15%
X3_q5A18qfc	155000	The Entire Story of The Trojan War & Iliad Explained (Before The Odyssey)	1280x720	113.21825155512151	74.72065442810806	253.2848	0.582223066246404	0.10324151452640874	0.2852788628472222	0.11065863715277778	#121A20:23% #845D2B:19% #75C3FA:19% #908B73:14%
FXsah-HUdFo	144000	What 24 Hours Trapped in a WW1 Trench Would Be Like	1280x720	53.317533371744794	39.82808610215649	122.6688	0.4097921205475209	0.0643735707116456	0.6378537326388889	0.007759331597222223	#1C1E14:24% #0A0C06:22% #403A2D:22% #51554A:17%
2oDLttbgF4k	136000	The Entire History of WW2's Deadliest Battle	1280x720	83.29882104513888	70.79373696757048	252.5026	0.4524823142816279	0.06517391781870616	0.5236154513888889	0.10610026041666666	#712136:35% #1F0C13:21% #868B86:15% #4E4946:12%
O56b0J6Rgn8	97000	Your Life as Every Japanese Army Rank in WW2	1280x720	180.88536788715277	89.15636552784292	249.99999999999997	0.22027312957952272	0.08882656717424187	0.130546875	0.5444835069444445	#FFFFFF:46% #867550:21% #3E2D1E:16% #CCAF8E:9%
mCWyBV45SA0	47000	POV: You Are a Japanese Sailor in WW2	640x480	86.35853685351562	84.10290083620997	246.37019999999998	0.22471803129858875	0.19914009690245393	0.46404622395833334	0.16084309895833335	#000000:27% #5E6062:22% #25262A:18% #B7B8A5:15%
PXxir5GIqKU	44000	The Reason Germany Failed at the Battle of the Bulge	640x480	64.59281007356769	69.96118844767913	250.3662	0.5010460813497841	0.11186254618875396	0.5585319010416666	0.06951171875	#000000:30% #1D4767:23% #4E1112:17% #69716C:15%
OCXZSk9IVm8	17000	POV: You're a Soldier in the Vietnam War	640x480	66.76201980078125	68.26790422713411	219.0685999999999	0.2789562588672831	0.15418140949617912	0.550986328125	0.084375	#444B35:26% #000000:24% #1F2216:17% #6D7354:14%
9G3xztcRXQM	2200	Evolution of The Greek Soldier	1280x720	118.23434098849826	78.84324223639881	248.0631199999998	0.4958197545084652	0.13748788876915097	0.28434895833333335	0.168271484375	#070202:25% #715836:17% #CFC098:16% #BA9248:16%
